unit,isced11,age,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED0,Y25-29,M,SI	26 	59 d	59 d	58 d	67 d	70 d	58 d
NR,ED0,Y25-29,M,SK	5 	6 	6 	19 	13 	10 	7 
NR,ED0,Y25-29,M,UK	263 bd	248 	235 	130 	: 	578 	: 
NR,ED0,Y25-29,T,AT	3838 	3722 	3534 	3625 	3372 	3261 	3201 
NR,ED0,Y25-29,T,BA	450 	: 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,T,BE	: 	: 	5292 d	5451 d	5431 d	: 	: 
NR,ED0,Y25-29,T,BG	1446 	1292 	1090 	1031 	897 	803 	816 
NR,ED0,Y25-29,T,CH	2056 	2055 	2044 	2066 	1974 	1821 	1768 
NR,ED0,Y25-29,T,CY	413 	406 	439 	444 	471 	292 	308 
NR,ED0,Y25-29,T,CZ	2891 	2864 	2672 	2673 	2583 	2502 	2103 
NR,ED0,Y25-29,T,DE	72356 	71963 	69038 	66593 	62906 	58740 	52783 
NR,ED0,Y25-29,T,DK	7214 d	6889 b	4839 	: 	: 	: 	: 
NR,ED0,Y25-29,T,EE	705 	701 	701 	708 	750 	700 	633 
NR,ED0,Y25-29,T,EL	1292 	: 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,T,ES	13550 	13075 	12997 	13407 	14039 	14970 	16101 
NR,ED0,Y25-29,T,EU27_2020	152411 d	: 	158353 d	: 	: 	: 	: 
NR,ED0,Y25-29,T,EU28	157053 d	: 	165232 d	: 	: 	: 	: 
NR,ED0,Y25-29,T,FR	8614 	9144 	9104 	9318 	9093 	9805 	9611 
NR,ED0,Y25-29,T,HR	1504 	1379 	1397 	1296 	1386 	1429 	1456 
NR,ED0,Y25-29,T,HU	2410 	2223 	2164 	1647 	1536 	: 	: 
NR,ED0,Y25-29,T,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED0,Y25-29,T,IS	780 	726 	694 	708 	667 	633 	601 
NR,ED0,Y25-29,T,IT	862 	764 	269 	156 	155 	: 	13 
NR,ED0,Y25-29,T,LI	14 	12 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,T,LT	1151 	1023 	930 	1023 	877 	784 	720 
NR,ED0,Y25-29,T,LU	236 	214 	201 	288 	356 	346 	375 
NR,ED0,Y25-29,T,LV	1065 	1116 	967 	692 	712 	651 	516 
NR,ED0,Y25-29,T,ME	79 d	57 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,T,MK	270 	265 	267 	: 	: 	: 	: d
NR,ED0,Y25-29,T,MT	215 d	165 d	141 d	121 d	121 d	104 	91 
NR,ED0,Y25-29,T,NL	3764 	3612 	3807 	4024 	4255 	4502 	4696 
NR,ED0,Y25-29,T,NO	5327 	4704 	4695 	4782 	4442 	4974 	4690 
NR,ED0,Y25-29,T,PL	18739 	19030 	18571 	16980 	16842 	15986 	15042 
NR,ED0,Y25-29,T,PT	: 	: 	: 	: 	: 	832 	919 
NR,ED0,Y25-29,T,RO	3505 	4020 	4257 	4489 	4173 	: 	: 
NR,ED0,Y25-29,T,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED0,Y25-29,T,SE	4672 	12075 	11362 	10325 	9481 	: d	: 
NR,ED0,Y25-29,T,SI	658 	1524 d	1587 d	1493 d	1551 d	1580 d	1661 d
NR,ED0,Y25-29,T,SK	1311 	1273 	1240 	1229 	1192 	1129 	984 
