unit,isced11,age,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED3,Y_GE50,M,BE	11455 	10846 	10914 	10823 	10863 	10938 d	11018 
NR,ED3,Y_GE50,M,BG	2751 	2736 b	2680 	2678 	2692 	2620 	2653 
NR,ED3,Y_GE50,M,CH	8097 d	8054 d	7962 d	7934 d	7919 d	7763 d	7769 d
NR,ED3,Y_GE50,M,CY	719 	697 	658 	678 	507 	488 	494 
NR,ED3,Y_GE50,M,CZ	7740 	7361 	7689 	6952 	7832 	7655 	7593 
NR,ED3,Y_GE50,M,DE	32769 e	33150 e	35332 e	36394 	37641 	40694 	42669 
NR,ED3,Y_GE50,M,DK	6030 	6328 b	: 	: 	: 	5771 	: 
NR,ED3,Y_GE50,M,EE	598 d	600 d	616 d	619 d	687 d	656 d	699 d
NR,ED3,Y_GE50,M,EL	11110 	10885 	9861 	9272 	9712 	10238 	10943 
NR,ED3,Y_GE50,M,ES	28297 	27857 	27615 	27102 	26173 	25564 	25706 
NR,ED3,Y_GE50,M,EU27_2020	270767 	269698 	258893 d	260455 d	267138 d	268421 d	274381 d
NR,ED3,Y_GE50,M,EU28	297474 	297149 	286648 d	286487 d	285700 d	299502 d	307035 d
NR,ED3,Y_GE50,M,FI	4086 	4106 	4185 	4411 	4533 	4494 	4508 
NR,ED3,Y_GE50,M,FR	30650 	29831 	28730 	28031 	27399 	26992 	26970 
NR,ED3,Y_GE50,M,HR	2325 	2433 	2449 	2408 	2495 	2545 	2503 
NR,ED3,Y_GE50,M,HU	6865 	6386 	6248 	5974 	5803 	5346 	5352 
NR,ED3,Y_GE50,M,IE	2106 d	2227 d	2198 d	2042 d	2314 d	2263 d	2221 d
NR,ED3,Y_GE50,M,IT	58885 d	59783 d	56465 d	60435 	51499 	50071 	51937 
NR,ED3,Y_GE50,M,LI	15 	15 	: 	15 	21 	20 	: 
NR,ED3,Y_GE50,M,LT	927 	959 	975 	1020 	1037 	1047 	1099 
NR,ED3,Y_GE50,M,LU	724 	453 	443 	416 d	462 	483 	589 
NR,ED3,Y_GE50,M,LV	549 	607 	620 	643 	706 	689 	699 
NR,ED3,Y_GE50,M,ME	297 d	320 	: 	: 	: 	: 	: 
NR,ED3,Y_GE50,M,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_GE50,M,MT	271 	266 	250 	248 	212 	221 	213 
NR,ED3,Y_GE50,M,NL	13148 	13737 	13916 	13937 	14518 	13179 	13831 
NR,ED3,Y_GE50,M,NO	5566 	5965 	6109 	6301 	6485 	6970 d	7058 d
NR,ED3,Y_GE50,M,PL	18742 	18572 	17602 	17221 	17355 	17043 	17537 
NR,ED3,Y_GE50,M,PT	5522 d	5310 d	5017 	4456 d	5010 d	3868 	4104 
NR,ED3,Y_GE50,M,RO	6745 	6824 	6982 	7224 	7497 	7973 	8074 
NR,ED3,Y_GE50,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_GE50,M,SE	8179 	8207 	7972 	7713 	7920 	8044 	8599 
NR,ED3,Y_GE50,M,SI	1007 	1015 	988 	21 	1040 	1052 	1034 
NR,ED3,Y_GE50,M,SK	1956 	1962 	2013 	2048 	2120 	2282 	2446 
NR,ED3,Y_GE50,M,TR	38781 	34186 	29084 	24200 	: 	21143 	: 
NR,ED3,Y_GE50,M,UK	26707 d	27451 d	27755 	26031 	18562 d	31081 	32654 
NR,ED3,Y_GE50,T,AT	14127 	13959 	13717 	13403 	12944 	12999 	13316 
NR,ED3,Y_GE50,T,BA	3715 	: 	: 	: 	: 	: 	: 
NR,ED3,Y_GE50,T,BE	26436 	25869 	25827 	25645 	25468 	25340 d	25216 
NR,ED3,Y_GE50,T,BG	10939 	10639 b	10207 	10581 	10695 	10454 	10360 
NR,ED3,Y_GE50,T,CH	13776 d	13649 d	13501 d	13249 d	13041 d	12737 d	12657 d
NR,ED3,Y_GE50,T,CY	1536 	1548 	1481 	1476 	1100 	996 	974 
NR,ED3,Y_GE50,T,CZ	18285 	17388 	18145 	17853 	17935 	16656 	16681 
NR,ED3,Y_GE50,T,DE	68553 e	68681 e	70888 e	72270 	73849 	77745 	80354 
NR,ED3,Y_GE50,T,DK	11104 	11778 b	: 	: 	: 	10091 	: 
NR,ED3,Y_GE50,T,EE	2186 d	2203 d	2222 d	2215 d	2409 d	2447 d	2595 d
NR,ED3,Y_GE50,T,EL	22380 	21422 	18872 	17210 	17361 	17483 	18538 
NR,ED3,Y_GE50,T,ES	60786 	59172 	57738 	56146 	53158 	51053 	48849 
NR,ED3,Y_GE50,T,EU27_2020	659195 	650872 	630155 d	619605 d	624794 d	616164 d	627795 d
NR,ED3,Y_GE50,T,EU28	718573 	711621 	692473 d	678200 d	666118 d	693053 d	703071 d
NR,ED3,Y_GE50,T,FI	9487 	9536 	9575 	9922 	10081 	9865 	9802 
NR,ED3,Y_GE50,T,FR	71257 	68784 	66332 	63960 	62367 	61376 	61377 
NR,ED3,Y_GE50,T,HR	6567 	6624 	6668 	6433 	6360 	6298 	6133 
NR,ED3,Y_GE50,T,HU	16950 	15696 	15202 	14686 	14043 	13118 	14506 
NR,ED3,Y_GE50,T,IE	6894 d	7189 d	7048 d	6494 d	7091 d	6932 d	6805 d
NR,ED3,Y_GE50,T,IT	162123 d	162873 d	163873 d	160906 	148249 	143026 	147932 
NR,ED3,Y_GE50,T,LI	26 	26 	: 	24 	33 	31 	: 
NR,ED3,Y_GE50,T,LT	4295 	4557 	4600 	4758 	4674 	4845 	5014 
NR,ED3,Y_GE50,T,LU	1458 	902 	886 	804 d	851 	840 	1111 
NR,ED3,Y_GE50,T,LV	3186 	3359 	3390 	3476 	3596 	3635 	3619 
NR,ED3,Y_GE50,T,ME	774 d	780 	: 	: 	: 	: 	: 
NR,ED3,Y_GE50,T,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_GE50,T,MT	479 	452 	423 	413 	358 	387 	370 
NR,ED3,Y_GE50,T,NL	25278 	25934 	25948 	25760 	26500 	23508 	24488 
NR,ED3,Y_GE50,T,NO	11233 	11837 	11813 	11977 	12148 	12766 d	12790 
NR,ED3,Y_GE50,T,PL	50837 	49702 	46685 	45581 	45429 	44915 	46832 
NR,ED3,Y_GE50,T,PT	18244 d	17511 d	16311 	14328 d	14708 d	11777 	12386 
NR,ED3,Y_GE50,T,RO	18938 	18399 	17972 	17934 	17988 	18335 	18065 
NR,ED3,Y_GE50,T,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_GE50,T,SE	17043 	16916 	16432 	15648 	15757 	15842 	16783 
NR,ED3,Y_GE50,T,SI	2852 	2751 	2600 	2747 	2575 	2503 	2441 
NR,ED3,Y_GE50,T,SK	6974 	7027 	7114 	7320 	7493 	7696 	7768 
NR,ED3,Y_GE50,T,TR	60781 	51713 	42785 	33333 	: 	27551 	: 
NR,ED3,Y_GE50,T,UK	59378 d	60749 d	62318 	58595 	41324 d	76889 	75276 
NR,ED3,Y_GE65,F,AT	29 	16 	17 	20 	19 	19 	15 
NR,ED3,Y_GE65,F,BA	8 	: 	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,F,BE	107 	113 	79 	64 	62 	55 d	52 
NR,ED3,Y_GE65,F,BG	380 	335 b	237 	199 	180 	136 	117 
NR,ED3,Y_GE65,F,CH	85 d	82 d	85 d	81 d	89 d	73 d	83 d
NR,ED3,Y_GE65,F,CY	0 	2 	3 	2 	5 	2 	4 
NR,ED3,Y_GE65,F,CZ	529 	504 	432 	414 	336 	480 	302 
NR,ED3,Y_GE65,F,DE	689 	536 d	410 	317 	245 	184 	152 
NR,ED3,Y_GE65,F,DK	436 	654 b	: 	: 	: 	331 	: 
NR,ED3,Y_GE65,F,EE	307 d	291 d	289 d	270 d	280 d	287 d	296 d
NR,ED3,Y_GE65,F,EL	155 	102 	72 	55 	41 	40 	38 
NR,ED3,Y_GE65,F,ES	361 	378 	355 	380 	349 	384 	406 
NR,ED3,Y_GE65,F,EU27_2020	13613 	12625 	8926 d	6844 d	7372 d	7089 	6560 d
NR,ED3,Y_GE65,F,EU28	15823 	14649 	11017 d	8031 d	7372 d	12369 	8806 d
NR,ED3,Y_GE65,F,FI	95 	104 	111 	134 	136 	111 	114 
NR,ED3,Y_GE65,F,FR	370 	328 	239 	198 	183 	156 	128 
NR,ED3,Y_GE65,F,HR	51 	93 	83 	48 	45 	40 	43 
NR,ED3,Y_GE65,F,HU	222 	173 	152 	115 	126 	133 	343 
NR,ED3,Y_GE65,F,IE	59 d	113 d	127 d	80 d	75 d	73 d	72 d
NR,ED3,Y_GE65,F,IT	4297 d	3877 d	1983 d	570 	1487 	1372 	1236 
NR,ED3,Y_GE65,F,LI	0 	0 	: 	0 	0 	0 	0 
NR,ED3,Y_GE65,F,LT	238 	254 	254 	257 	255 	285 	294 
NR,ED3,Y_GE65,F,LU	9 	6 	6 	9 d	7 	4 	4 
NR,ED3,Y_GE65,F,LV	281 	290 	281 	271 	235 	265 	266 
NR,ED3,Y_GE65,F,ME	35 d	30 	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,F,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_GE65,F,MT	5 	4 	3 	1 	1 	4 	1 
NR,ED3,Y_GE65,F,NL	510 	444 	295 	215 	83 	65 	54 
NR,ED3,Y_GE65,F,NO	444 	460 	439 	434 	474 	437 d	434 d
NR,ED3,Y_GE65,F,PL	2416 	2104 	1792 	1640 	1554 	1451 	1456 
NR,ED3,Y_GE65,F,PT	353 d	246 d	195 	166 d	117 d	57 	68 
NR,ED3,Y_GE65,F,RO	444 	402 	363 	298 	236 	205 	146 
NR,ED3,Y_GE65,F,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,F,SE	768 	761 	649 	553 	592 	534 	521 
NR,ED3,Y_GE65,F,SI	24 	12 	8 	46 	28 	29 	21 
NR,ED3,Y_GE65,F,SK	478 	484 	491 	523 	533 	188 	183 
NR,ED3,Y_GE65,F,TR	0 	0 	1 	0 	: 	2 	: 
NR,ED3,Y_GE65,F,UK	2209 d	2024 d	2091 	1187 	0 d	5280 	2246 
NR,ED3,Y_GE65,M,AT	83 	77 	64 	63 	52 	71 	83 
NR,ED3,Y_GE65,M,BA	13 	: 	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,M,BE	240 	226 	206 	166 	144 	122 d	122 
NR,ED3,Y_GE65,M,BG	263 	228 b	185 	171 	157 	123 	116 
NR,ED3,Y_GE65,M,CH	243 d	211 d	221 d	212 d	228 d	231 d	201 d
NR,ED3,Y_GE65,M,CY	2 	3 	2 	3 	6 	3 	7 
NR,ED3,Y_GE65,M,CZ	945 	898 	778 	649 	616 	821 	579 
NR,ED3,Y_GE65,M,DE	1432 	1400 d	1179 	887 	793 	779 	657 
NR,ED3,Y_GE65,M,DK	1007 	1307 b	: 	: 	: 	784 	: 
NR,ED3,Y_GE65,M,EE	173 d	170 d	166 d	160 d	165 d	144 d	143 d
NR,ED3,Y_GE65,M,EL	519 	385 	264 	187 	130 	143 	149 
NR,ED3,Y_GE65,M,ES	472 	490 	448 	482 	429 	445 	478 
NR,ED3,Y_GE65,M,EU27_2020	16014 	15030 	10889 d	9100 d	9331 d	9303 	8245 d
NR,ED3,Y_GE65,M,EU28	18790 	17785 	13610 d	10994 d	9331 d	13022 	10984 d
NR,ED3,Y_GE65,M,FI	150 	172 	155 	181 	171 	165 	157 
NR,ED3,Y_GE65,M,FR	397 	329 	236 	180 	161 	144 	124 
NR,ED3,Y_GE65,M,HR	51 	54 	64 	38 	41 	44 	43 
NR,ED3,Y_GE65,M,HU	242 	185 	158 	154 	153 	140 	277 
NR,ED3,Y_GE65,M,IE	35 d	60 d	59 d	48 d	45 d	44 d	43 d
NR,ED3,Y_GE65,M,IT	3619 d	3169 d	1768 d	1179 	1936 	1700 	1548 
NR,ED3,Y_GE65,M,LI	0 	0 	: 	0 	0 	0 	0 
NR,ED3,Y_GE65,M,LT	138 	118 	135 	126 	135 	138 	138 
NR,ED3,Y_GE65,M,LU	1 	1 	1 	7 d	7 	6 	11 
NR,ED3,Y_GE65,M,LV	109 	106 	108 	103 	107 	125 	130 
NR,ED3,Y_GE65,M,ME	40 d	42 	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,M,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_GE65,M,MT	15 	21 	12 	7 	3 	3 	6 
NR,ED3,Y_GE65,M,NL	976 	798 	639 	470 	208 	161 	148 
NR,ED3,Y_GE65,M,NO	808 	866 	878 	868 	953 	965 d	863 d
NR,ED3,Y_GE65,M,PL	2376 	2164 	1902 	1852 	1839 	1734 	1689 
NR,ED3,Y_GE65,M,PT	342 d	251 d	197 	144 d	139 d	93 	91 
NR,ED3,Y_GE65,M,RO	1015 	971 	815 	661 	490 	344 	260 
NR,ED3,Y_GE65,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,M,SE	980 	1028 	940 	800 	783 	762 	768 
NR,ED3,Y_GE65,M,SI	62 	46 	27 	0 	38 	34 	30 
NR,ED3,Y_GE65,M,SK	370 	373 	381 	366 	379 	205 	219 
NR,ED3,Y_GE65,M,TR	0 	0 	9 	0 	: 	4 	: 
NR,ED3,Y_GE65,M,UK	2776 d	2754 d	2722 	1894 	0 d	3719 	2740 
NR,ED3,Y_GE65,T,AT	112 	93 	81 	83 	72 	90 	98 
NR,ED3,Y_GE65,T,BA	21 	: 	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,T,BE	347 	339 	285 	230 	206 	177 d	174 
NR,ED3,Y_GE65,T,BG	643 	563 b	422 	370 	337 	259 	233 
NR,ED3,Y_GE65,T,CH	328 d	293 d	306 d	293 d	317 d	304 d	284 d
NR,ED3,Y_GE65,T,CY	2 	5 	5 	5 	11 	5 	11 
NR,ED3,Y_GE65,T,CZ	1474 	1402 	1210 	1062 	952 	1301 	881 
NR,ED3,Y_GE65,T,DE	2121 	1936 d	1589 	1204 	1038 	964 	809 
NR,ED3,Y_GE65,T,DK	1443 	1961 b	: 	: 	: 	1115 	: 
NR,ED3,Y_GE65,T,EE	480 d	461 d	455 d	430 d	445 d	431 d	439 d
NR,ED3,Y_GE65,T,EL	674 	487 	336 	242 	171 	183 	187 
NR,ED3,Y_GE65,T,ES	833 	868 	803 	862 	778 	829 	884 
NR,ED3,Y_GE65,T,EU27_2020	29628 	27656 	19815 d	15944 d	16703 d	16392 	14805 d
NR,ED3,Y_GE65,T,EU28	34613 	32434 	24627 d	19025 d	16703 d	25391 	19790 d
NR,ED3,Y_GE65,T,FI	245 	276 	266 	315 	307 	276 	271 
NR,ED3,Y_GE65,T,FR	767 	657 	475 	378 	344 	300 	252 
NR,ED3,Y_GE65,T,HR	102 	147 	147 	86 	86 	84 	86 
NR,ED3,Y_GE65,T,HU	464 	358 	310 	269 	279 	273 	620 
NR,ED3,Y_GE65,T,IE	95 d	173 d	186 d	128 d	120 d	117 d	115 d
NR,ED3,Y_GE65,T,IT	7916 d	7046 d	3751 d	1749 	3423 	3072 	2784 
NR,ED3,Y_GE65,T,LI	0 	0 	: 	0 	0 	0 	0 
NR,ED3,Y_GE65,T,LT	376 	372 	389 	383 	390 	423 	432 
NR,ED3,Y_GE65,T,LU	10 	7 	7 	16 d	14 	10 	15 
NR,ED3,Y_GE65,T,LV	390 	396 	389 	374 	342 	390 	396 
NR,ED3,Y_GE65,T,ME	75 d	72 	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,T,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_GE65,T,MT	20 	25 	15 	8 	4 	7 	7 
NR,ED3,Y_GE65,T,NL	1486 	1242 	934 	684 	291 	226 	202 
NR,ED3,Y_GE65,T,NO	1252 	1326 	1317 	1302 	1428 	1402 d	1297 
NR,ED3,Y_GE65,T,PL	4792 	4268 	3694 	3492 	3393 	3185 	3145 
NR,ED3,Y_GE65,T,PT	695 d	497 d	392 	310 d	256 d	150 	159 
NR,ED3,Y_GE65,T,RO	1459 	1373 	1178 	959 	726 	549 	406 
NR,ED3,Y_GE65,T,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_GE65,T,SE	1748 	1789 	1589 	1353 	1375 	1296 	1289 
NR,ED3,Y_GE65,T,SI	86 	58 	35 	46 	66 	63 	51 
NR,ED3,Y_GE65,T,SK	848 	857 	872 	889 	912 	393 	402 
NR,ED3,Y_GE65,T,TR	0 	0 	10 	0 	: 	6 	: 
NR,ED3,Y_GE65,T,UK	4985 d	4778 d	4813 	3081 	0 d	8999 	4985 
NR,ED3,Y_LT25,F,AT	185 	203 	187 	198 	197 	225 	192 
NR,ED3,Y_LT25,F,BA	194 	: 	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,F,BE	1215 	1497 	1739 	1819 	1917 	1943 d	1992 
NR,ED3,Y_LT25,F,BG	183 	177 b	146 	123 	100 	94 	104 
NR,ED3,Y_LT25,F,CH	51 d	68 d	62 d	71 d	80 d	86 d	89 d
NR,ED3,Y_LT25,F,CY	9 	9 	10 	12 	9 	9 	12 
NR,ED3,Y_LT25,F,CZ	63 	60 	48 	37 	46 	110 	67 
NR,ED3,Y_LT25,F,DE	0 e	0 e	0 e	0 	0 	0 	0 
NR,ED3,Y_LT25,F,DK	103 	85 b	: 	: 	: 	106 	: 
NR,ED3,Y_LT25,F,EE	44 d	36 d	39 d	37 d	45 d	56 d	60 d
NR,ED3,Y_LT25,F,EL	15 	8 	6 	6 	6 	27 	17 
NR,ED3,Y_LT25,F,ES	448 	331 	305 	250 	177 	196 	214 
NR,ED3,Y_LT25,F,EU27_2020	7510 	7453 	7462 d	7422 d	5841 d	5351 	5586 d
NR,ED3,Y_LT25,F,EU28	12508 	12714 	13376 d	15229 d	7057 d	16194 	12334 d
NR,ED3,Y_LT25,F,FI	104 	81 	109 	111 	123 	155 	136 
NR,ED3,Y_LT25,F,FR	2554 	2532 	2457 	2335 	2325 	2466 	1527 
NR,ED3,Y_LT25,F,HR	96 	77 	93 	119 	131 	128 	113 
NR,ED3,Y_LT25,F,HU	80 	60 	72 	58 	84 	104 	138 
NR,ED3,Y_LT25,F,IE	323 d	140 d	83 d	128 d	53 d	52 d	51 d
NR,ED3,Y_LT25,F,IT	230 d	204 d	84 d	144 	5 	4 	0 
NR,ED3,Y_LT25,F,LI	0 	1 	: 	0 	0 	0 	0 
NR,ED3,Y_LT25,F,LT	20 	22 	23 	34 	34 	35 	43 
NR,ED3,Y_LT25,F,LU	33 	19 	17 	22 d	11 	26 	27 
NR,ED3,Y_LT25,F,LV	92 	108 	81 	62 	58 	57 	96 
NR,ED3,Y_LT25,F,ME	6 d	6 	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,F,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_LT25,F,MT	57 	78 	82 	104 	81 	101 	102 
NR,ED3,Y_LT25,F,NL	795 	768 	777 	766 	690 	579 	634 
NR,ED3,Y_LT25,F,NO	183 	190 	199 	212 	142 	134 d	155 
NR,ED3,Y_LT25,F,PL	201 	268 	305 	368 	405 	406 	503 
NR,ED3,Y_LT25,F,PT	69 d	49 d	62 	47 d	56 d	58 	73 
NR,ED3,Y_LT25,F,RO	421 	435 	517 	426 	504 	475 	493 
NR,ED3,Y_LT25,F,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,F,SE	112 	144 	154 	115 	122 	96 	118 
NR,ED3,Y_LT25,F,SI	7 	10 	12 	0 	2 	7 	3 
NR,ED3,Y_LT25,F,SK	51 	52 	53 	51 	52 	85 	176 
NR,ED3,Y_LT25,F,TR	4911 	1405 	1949 	4818 	: 	5335 	: 
NR,ED3,Y_LT25,F,UK	4999 d	5260 d	5914 	7807 	1216 d	10843 	6748 
NR,ED3,Y_LT25,M,AT	47 	59 	44 	44 	50 	55 	47 
NR,ED3,Y_LT25,M,BA	73 	: 	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,M,BE	548 	657 	722 	717 	736 	769 d	769 
NR,ED3,Y_LT25,M,BG	73 	74 b	71 	64 	55 	55 	54 
NR,ED3,Y_LT25,M,CH	51 d	44 d	52 d	71 d	66 d	67 d	61 d
NR,ED3,Y_LT25,M,CY	3 	1 	1 	4 	1 	2 	3 
NR,ED3,Y_LT25,M,CZ	106 	100 	89 	56 	87 	120 	47 
NR,ED3,Y_LT25,M,DE	0 e	0 e	0 e	0 	0 	0 	0 
NR,ED3,Y_LT25,M,DK	119 	97 b	: 	: 	: 	85 	: 
NR,ED3,Y_LT25,M,EE	38 d	36 d	34 d	48 d	44 d	29 d	38 d
NR,ED3,Y_LT25,M,EL	3 	3 	4 	0 	3 	7 	13 
NR,ED3,Y_LT25,M,ES	291 	222 	191 	163 	101 	100 	111 
NR,ED3,Y_LT25,M,EU27_2020	4550 	4487 	4129 d	4052 d	2771 d	2591 	2490 d
NR,ED3,Y_LT25,M,EU28	7328 	7344 	7494 d	7989 d	3893 d	7948 	5680 d
NR,ED3,Y_LT25,M,FI	46 	44 	48 	64 	55 	52 	79 
NR,ED3,Y_LT25,M,FR	1564 	1582 	1570 	1428 	1325 	1262 	726 
NR,ED3,Y_LT25,M,HR	59 	51 	64 	55 	65 	51 	70 
NR,ED3,Y_LT25,M,HU	51 	57 	69 	57 	62 	78 	80 
NR,ED3,Y_LT25,M,IE	160 d	103 d	53 d	89 d	32 d	32 d	32 d
NR,ED3,Y_LT25,M,IT	502 d	375 d	122 d	250 	12 	9 	0 
NR,ED3,Y_LT25,M,LI	0 	0 	: 	0 	0 	1 	0 
NR,ED3,Y_LT25,M,LT	16 	19 	20 	23 	27 	32 	42 
NR,ED3,Y_LT25,M,LU	13 	5 	4 	6 d	2 	5 	11 
NR,ED3,Y_LT25,M,LV	68 	72 	59 	45 	32 	33 	58 
NR,ED3,Y_LT25,M,ME	4 d	5 	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,M,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_LT25,M,MT	25 	39 	38 	33 	28 	25 	33 
NR,ED3,Y_LT25,M,NL	367 	390 	380 	383 	321 	280 	274 
NR,ED3,Y_LT25,M,NO	124 	132 	126 	158 	110 	96 d	91 
NR,ED3,Y_LT25,M,PL	136 	133 	162 	148 	185 	178 	185 
NR,ED3,Y_LT25,M,PT	58 d	47 d	60 	44 d	48 d	41 	63 
NR,ED3,Y_LT25,M,RO	97 	126 	120 	123 	153 	170 	162 
NR,ED3,Y_LT25,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,M,SE	127 	160 	170 	109 	108 	93 	113 
NR,ED3,Y_LT25,M,SI	14 	15 	13 	14 	2 	2 	2 
NR,ED3,Y_LT25,M,SK	20 	20 	21 	21 	22 	31 	51 
NR,ED3,Y_LT25,M,TR	1708 	723 	1173 	2494 	: 	2360 	: 
NR,ED3,Y_LT25,M,UK	2778 d	2857 d	3365 	3938 	1122 d	5357 	3190 
NR,ED3,Y_LT25,T,AT	231 	262 	231 	242 	247 	280 	239 
NR,ED3,Y_LT25,T,BA	267 	: 	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,T,BE	1763 	2154 	2461 	2536 	2653 	2712 d	2761 
NR,ED3,Y_LT25,T,BG	256 	251 b	217 	187 	155 	149 	158 
NR,ED3,Y_LT25,T,CH	102 d	112 d	114 d	142 d	146 d	153 d	150 d
NR,ED3,Y_LT25,T,CY	12 	10 	11 	16 	10 	11 	15 
NR,ED3,Y_LT25,T,CZ	169 	161 	138 	93 	133 	230 	114 
NR,ED3,Y_LT25,T,DE	0 e	0 e	0 e	0 	0 	0 	0 
NR,ED3,Y_LT25,T,DK	222 	182 b	: 	: 	: 	191 	: 
NR,ED3,Y_LT25,T,EE	81 d	72 d	73 d	85 d	89 d	85 d	98 d
NR,ED3,Y_LT25,T,EL	18 	11 	10 	6 	9 	34 	30 
NR,ED3,Y_LT25,T,ES	739 	553 	496 	413 	278 	296 	325 
NR,ED3,Y_LT25,T,EU27_2020	12060 	11940 	11591 d	11473 d	8612 d	7941 	8076 d
NR,ED3,Y_LT25,T,EU28	19836 	20057 	20870 d	23218 d	10950 d	24141 	18014 d
NR,ED3,Y_LT25,T,FI	150 	125 	157 	175 	178 	207 	215 
NR,ED3,Y_LT25,T,FR	4118 	4114 	4027 	3763 	3650 	3728 	2253 
NR,ED3,Y_LT25,T,HR	155 	128 	157 	174 	196 	179 	183 
NR,ED3,Y_LT25,T,HU	131 	117 	141 	115 	146 	182 	218 
NR,ED3,Y_LT25,T,IE	483 d	243 d	136 d	217 d	85 d	84 d	83 d
NR,ED3,Y_LT25,T,IT	732 d	579 d	206 d	394 	17 	13 	0 
NR,ED3,Y_LT25,T,LI	0 	1 	: 	0 	0 	1 	0 
NR,ED3,Y_LT25,T,LT	36 	41 	43 	57 	61 	67 	85 
NR,ED3,Y_LT25,T,LU	46 	24 	21 	28 d	13 	31 	38 
NR,ED3,Y_LT25,T,LV	160 	180 	140 	107 	90 	90 	154 
NR,ED3,Y_LT25,T,ME	10 d	11 	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,T,MK	: d	: d	: 	: 	: d	: 	: d
NR,ED3,Y_LT25,T,MT	82 	117 	120 	136 	109 	126 	134 
NR,ED3,Y_LT25,T,NL	1163 	1158 	1157 	1149 	1012 	859 	908 
NR,ED3,Y_LT25,T,NO	307 	323 	324 	371 	252 	230 d	246 
NR,ED3,Y_LT25,T,PL	337 	401 	467 	516 	590 	584 	688 
NR,ED3,Y_LT25,T,PT	127 d	96 d	122 	91 d	104 d	99 	136 
NR,ED3,Y_LT25,T,RO	518 	561 	637 	549 	657 	645 	655 
NR,ED3,Y_LT25,T,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED3,Y_LT25,T,SE	239 	304 	324 	224 	230 	189 	231 
NR,ED3,Y_LT25,T,SI	21 	25 	25 	14 	4 	9 	5 
NR,ED3,Y_LT25,T,SK	71 	72 	74 	72 	74 	116 	227 
NR,ED3,Y_LT25,T,TR	6619 	2128 	3122 	7312 	: 	7695 	: 
NR,ED3,Y_LT25,T,UK	7776 d	8117 d	9279 	11745 	2338 d	16200 	9938 
NR,ED34,TOTAL,F,AT	7714 	7669 	7597 	7568 	7504 	7474 	7482 
NR,ED34,TOTAL,F,BA	2493 	: 	: 	: 	: 	: 	: 
NR,ED34,TOTAL,F,BE	20057 	21039 	20788 	20395 	20406 	20111 d	19949 
NR,ED34,TOTAL,F,BG	9012 	8821 b	8350 	8711 	8801 	8782 	8984 
NR,ED34,TOTAL,F,CH	4885 	4885 	4555 	4451 	4134 d	4246 d	4165 d
NR,ED34,TOTAL,F,CY	2009 	1988 	1953 	1933 	1518 	1644 	1763 
NR,ED34,TOTAL,F,CZ	6003 	5642 	5609 	5899 	5559 	5407 	5746 
NR,ED34,TOTAL,F,DE	72130 e	73512 de	72631 d	70440 	68021 	69113 	67755 
NR,ED34,TOTAL,F,DK	10327 	10387 b	5039 	5133 	: 	8513 	: 
NR,ED34,TOTAL,F,EE	1852 	1823 	1820 	1830 	1972 	2168 	2366 
NR,ED34,TOTAL,F,EL	13510 	13574 	13350 	13292 	12905 	13201 	14811 
NR,ED34,TOTAL,F,ES	58143 	56155 	54495 	54956 	52461 	51613 	52633 
NR,ED34,TOTAL,F,EU27_2020	492927 d	495651 d	492347 d	494748 d	495473 d	513018 d	540299 d
NR,ED34,TOTAL,F,EU28	579384 d	582066 d	584518 d	594415 d	: 	625313 d	646583 d
NR,ED34,TOTAL,F,FI	5139 	5104 	5059 	4941 	5193 	5181 	5171 
NR,ED34,TOTAL,F,FR	80283 	80155 	78617 	76569 	77400 	76610 	74606 
